name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
Marion Ohio,+0,+2,+1,+0,+0,+1,+0,+1,+1,+1,+1,+1,+1,+1,+7,+6,+3,+4,+8,+2,+7,+4,+38,+19,+54,+112,+152,+555,+851,+239,+59
Mecklenburg North Carolina,+0,+20,+45,+28,+34,+55,+40,+37,+46,+38,+24,+89,+68,+49,+14,+77,+69,+38,+13,+45,+29,+19,+16,+23,+22,+83,+38,+17,+30,+48,+24
Mercer New Jersey,+0,+10,+8,+24,+29,+20,+37,+34,+47,+19,+65,+53,+98,+102,+68,+86,+97,+155,+169,+121,+152,+133,+79,+85,+125,+181,+86,+92,+180,+196,+0
Miami-Dade Florida,+0,+51,+60,+62,+216,+147,+240,+189,+440,+491,+79,+684,+478,+526,+256,+335,+516,+357,+391,+374,+368,+571,+401,+253,+354,+260,+498,+221,+309,+303,+399
Middlesex Massachusetts,+0,+33,+72,+142,+92,+147,+157,+139,+160,+199,+242,+288,+332,+266,+164,+318,+237,+358,+500,+402,+425,+788,+323,+271,+427,+525,+538,+553,+440,+0,+884
Middlesex New Jersey,+0,+63,+67,+39,+189,+135,+168,+130,+185,+154,+216,+273,+359,+453,+372,+313,+454,+439,+472,+432,+346,+287,+294,+326,+263,+418,+314,+316,+393,+329,+0
Milwaukee Wisconsin,+0,+22,+39,+82,+22,+64,+130,+65,+11,+93,+70,+89,+154,+0,+167,+66,+67,+93,+68,+91,+78,+57,+33,+52,+75,+77,+66,+52,+85,+41,+43
Minnehaha South Dakota,+0,+0,+0,+8,+3,+2,+3,+4,+3,+3,+9,+14,+14,+13,+23,+36,+25,+63,+46,+78,+86,+89,+127,+114,+166,+131,+92,+119,+86,+43,+64
Monmouth New Jersey,+0,+80,+50,+25,+188,+133,+147,+89,+160,+110,+161,+157,+285,+322,+289,+191,+225,+268,+210,+248,+155,+134,+90,+128,+119,+177,+115,+114,+141,+118,+0
Monroe New York,+0,+13,+25,+12,+30,+18,+36,+17,+27,+11,+92,+71,+44,+48,+36,+26,+22,+55,+47,+44,+25,+31,+25,+27,+34,+48,+43,+33,+24,+22,+16
